task,queue,env_name,exp_name,sensor_bundle,seed,rollout_seed,step,time_s,f_thumb,f_index,f_total,env_code_commit
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,1,19,0.95,2.43871,1.75217,4.19089,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,1,20,1.0,2.36634,1.77059,4.13693,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,1,21,1.05,2.21465,1.77533,3.98998,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,1,22,1.1,2.10721,1.77108,3.87829,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,1,23,1.15,1.93884,1.53126,3.47009,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,1,24,1.2,1.81056,0.7946,2.60516,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,1,25,1.25,1.79073,0.87671,2.66744,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,1,26,1.3,1.77723,0.88632,2.66356,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,1,27,1.35,1.82634,0.73297,2.55931,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,1,28,1.4,1.88929,0.62773,2.51702,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,1,29,1.45,1.95788,0.53546,2.49334,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,1,30,1.5,2.02919,0.46536,2.49455,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,1,31,1.55,2.10076,0.42149,2.52225,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,1,32,1.6,2.1718,0.38274,2.55454,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,1,33,1.65,2.24146,0.36869,2.61014,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,1,34,1.7,2.30691,0.3593,2.66621,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,1,35,1.75,2.3675,0.37389,2.7414,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,1,36,1.8,2.42009,0.44359,2.86368,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,1,37,1.85,2.46603,0.0,2.46603,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,1,38,1.9,2.36679,0.81834,3.18513,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,1,39,1.95,3.57941,1.23768,4.81709,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,1,40,2.0,3.59456,1.16426,4.75881,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,1,41,2.05,3.85886,1.58668,5.44554,3682863
